label,area,perimeter,eccentricity,solidity,equivalent_diameter,mean_intensity,circularity
1,6343.0,375.84671708797583,0.909067996752849,0.9514024298785061,89.86744923639002,0.8897858410323314,0.564264922343869
2,15373.0,671.3319984622144,0.9725514125541498,0.9719903894790086,139.90536630599146,0.911890859954011,0.42864108472924917
3,32106.0,878.6650429449553,0.8537523995741553,0.8917094847937787,202.1846404237155,0.8789748535557412,0.5225758890336747
4,6685.0,401.515764646288,0.5331031301623314,0.8339570858283433,92.25836740672665,0.8808974932409094,0.5210820013040713
5,4853.0,390.8883476483184,0.9712381441697492,0.9105065666041275,78.60681592966188,0.8566296127436277,0.3991303074726026
6,1868.0,190.87615433949867,0.6551991774074234,0.862021227503461,48.76896010338219,0.7715808486825363,0.6442929554647975
7,2466.0,244.95941546018392,0.5733254212890554,0.8181818181818182,56.033996085563196,0.77736785905842,0.5164338043524146
8,9.0,7.0,1.0,1.0,3.385137501286538,0.7096549890586334,2.308108888351685
9,10570.0,523.7533546995239,0.5818785668029643,0.8817886043213481,116.00923233885598,0.8263489881003895,0.4842071698792719
10,2032.0,215.43860018001266,0.8710092850958855,0.8955486998677832,50.86474962979618,0.8171902785688508,0.5501568573083516
11,7.0,5.0,1.0,1.0,2.985410660720923,0.8651889248244852,3.5185837720205684
12,8916.0,460.06096654409873,0.5731547897084899,0.895990352728369,106.54672111735167,0.781589103262658,0.5293575953455606
13,478.0,118.01219330881975,0.7359653871076355,0.7331288343558282,24.669991941291908,0.7177599775738994,0.43130450723085634
14,9685.0,459.5573952066306,0.6099415549273283,0.8824601366742597,111.04649922784623,0.791161700314936,0.5762752538885557
15,2640.0,277.27922061357856,0.8006256286552448,0.7871198568872988,57.97717135304921,0.7516484093651404,0.43149835223317196
16,2077.0,209.18986283848344,0.8627502970509983,0.9318079856437864,51.42488244434724,0.7907944882795253,0.5964377047013772
17,11715.0,981.0437226013956,0.8701768158105821,0.7026329994602051,122.13108231147561,0.8435567387372085,0.15295913908314115
18,7285.0,588.770598642227,0.8871110950044437,0.8024895351398986,96.30965726964072,0.7945431721371253,0.26408710211577463
19,2040.0,205.46803743153546,0.4823884080244101,0.8589473684210527,50.964778732569144,0.7791814185641126,0.6072275761620853
20,26.0,24.0,1.0,1.0,5.753627391751592,0.891687550439621,0.5672320068981571
21,1617.0,204.8761543394987,0.8410447688262662,0.8183198380566802,45.37431370100002,0.8234270644935628,0.48410220061066406
22,12.0,10.0,1.0,1.0,3.9088200952233594,0.6733184039920649,1.5079644737231006
23,7391.0,518.1492782986674,0.8450700254204232,0.7859421522756274,97.00780110453792,0.800371655353549,0.34594198346893207
24,5.0,3.0,1.0,1.0,2.5231325220201604,0.6900791459598749,6.981317007977318
